link,Year,Event,Speaker,Organization,About ,Summary,Source of Summary,Topic 1,Sub-topic 1-1,Sub-topic 1-2,Sub-topic 1-3,Topic 2,Sub-topic 2-1,Sub-topic 2-2,Sub-topic 2-3
https://www.youtube.com/watch?v=KfLb7pJfFB4&list=PLJ506hQ4g3TiJnL5_UFtRgDFcEV9QNdd1&index=1,2022,NICE,Stefeno Fusi,Columbia University,The pervasiveness of disentagled representational geometries in the brain. ,"The speaker is discussing ""disentangled representations,"" which are becoming popular in the machine learning community. They believe that these types of representations can be found in the real biological brain, and that by studying them, we can build better neuromorphic systems that are able to generalize. The speaker mentions that they have been working with a team of people who are studying disentangled representations in both animals and humans, and have developed new analytical tools to study them. They also provide an example of how these representations can be used to group similar stimuli together into categories, and discuss the concept of a ""mental representation"" of a category.",ChatGPT,Neuromorphic circuits,Network topology,,,Neuromorphic algorithms,Computational Neuroscience,,
https://www.youtube.com/watch?v=PuGe42HllHA&list=PLJ506hQ4g3TiJnL5_UFtRgDFcEV9QNdd1&index=2,2022,NICE,Christopher Kymn,UCB,Computing on Functions using randomized vector representations,"The speaker, Christopher Kymn, is a PhD student at UC Berkeley and the Redwood Center for Theoretical Neuroscience. He is giving a talk at a conference about a paper he worked on called ""Computing on Functions using Randomized Vector Representations."" The paper presents a framework for computing over distributed representations, and the talk will focus on how to manipulate and transform vectors in meaningful ways in the original vector space. The talk will also discuss the potential applications of this framework in machine learning, factorizable image encodings, and modeling in neuroscience. The speaker mentions that this is a rapidly emerging field and that the framework, known as Vector Symbolic Architectures or Hyperdimensional Computing, can be linked to neuromorphic hardware.",ChatGPT,Neuromorphic algorithms,Stochastic computing,,,,,,
https://www.youtube.com/watch?v=LD0kf02opW8&list=PLJ506hQ4g3TiJnL5_UFtRgDFcEV9QNdd1&index=3,2022,NICE,Denis Klekyo,UCB,Integer factorization with compositonal distributed representations,"The video is discussing a study on neuromorphic engineering, which is a challenging field when it comes to programming neural hardware. The speaker and his colleagues at Intel and UC Berkeley are exploring ways to streamline the process by drawing inspiration from Mars levels for information processing devices. They focus on the middle algorithmic level, where they believe that hyperdimensional computing or Vector Symbolic Architectures (VSA) can be a great abstraction for programming neuromorphic hardware. They also mention Vector Function Architecture (VFA), which is an enhanced version of VSA, and mention that it will play an essential role in the development of neuromorphic algorithms. They explain that VFA uses a random base vector and a similarity kernel to bind and superpose vectors, and that these operations have meaningful interpretations in the original space.",ChatGPT,Neuromorphic algorithms,Symbolic computing,,,,,,
https://www.youtube.com/watch?v=8xMWsXwAY9I&list=PLJ506hQ4g3TiJnL5_UFtRgDFcEV9QNdd1&index=4,2022,NICE,Andreas Baumbach,Heidelberg University,Quantum many-body states: A novel neuromorphic application,"The speaker, Andreas Baumbach, is discussing a project that combines quantum physics and neuromorphic computing. He explains that the project began with a group of physicists at the same institute, including Tomas Gazenza, who wanted to represent quantum many-body states using the hardware developed by Calan Smiles. The speaker mentions that it took some time for the team to understand each other's language and for enough hardware to be available, but they eventually made progress. He also mentions that the project involves using neomorphic hardware, specifically the BrainScale's ASIC. The speaker also briefly mentions qubits, which are a type of quantum bit that can exist in a superposition of 0 and 1, and the concept of superposition is more complicated than a classical bit system.",ChatGPT,Applications,Quantum computing,,,,,,
https://www.youtube.com/watch?v=ThDh1XQqN4s&list=PLJ506hQ4g3TiJnL5_UFtRgDFcEV9QNdd1&index=5,2022,NICE,Brad Aimone,Sandia National Laboratories,COINFLIPS: CO-designed improved neural foundations leveraging inherent physics stochasticity,"The researcher at Sandia National Labs is discussing a new effort called Coin Flips. The effort aims to explore the advantages of neuromorphic computing, which is a type of computing that is inspired by the human brain. In particular, the researcher is discussing a recent paper that was published in Nature Electronics, which focuses on how neuromorphic computing is advantageous for Monte Carlo random walk calculations. This is a probabilistic applied math algorithm, and it is thought to broaden the impact of neuromorphic computing as a whole. The researcher also explains that in the study, they designed a neuromorphic algorithm that uses spiking, leaking, integrate and fire neurons, and that the algorithm shows an energy advantage over traditional computing methods.",ChatGPT,Neuromorphic algorithms,Stochastic computing,Computing with physics,,,,,
https://www.youtube.com/watch?v=bn5pcFHPJHs&list=PLJ506hQ4g3TiJnL5_UFtRgDFcEV9QNdd1&index=6,2022,NICE,Johannes Schemmel,Heidelberg University,BrainScaleS via EBRAINS: easily accesible analog,"The speaker is discussing the use of EBRAINs and BrainScaleS analog systems in brain emulation as part of the Human Brain Project. The goal is to make it easily accessible for neuroscientists and to hide the difficulties of working with analog models. The speaker is part of a research group that has been working on analog and mixed-signal systems for brain emulation since 1995, and is now focusing on the Human Brain Project, a European Union project aimed at understanding the brain and developing future computing technology. The speaker will also discuss the services that can be offered using this kind of system, and give an example of parameter fitting with BrainScales, which is important for brain emulation.",ChatGPT,Neuromorphic circuits,Large scale neuromorphic computing platform,Analog computing,,Tools and datasets,Computing platform,,
https://www.youtube.com/watch?v=Nfgr6XV8ORA&list=PLJ506hQ4g3TiJnL5_UFtRgDFcEV9QNdd1&index=7,2022,NICE,Tobias Thommes,Heidelberg University,Demonstrating BrainScales-2 inter-chip pulse communication using EXTOLL ,"The speaker is discussing a demonstration of using BrainScales to inter-chip communication. They are emulating biological neurodynamics in analog electronic circuits and digitizing spike events from these analog circuits to communicate between neuron circuits in their chips and systems. They have an accelerated model dynamics compared to biology, with a speed up factor of 10 to the five in one system and 10 to the four in another. They also have embedded processors on their chips. However, they want to communicate neural events over a packet-based network to emulate larger neural networks, so they need a high-bandwidth network with low latency and small packets. They have found an alternative network, that offers bandwidths of up to 100 gigabits per second and latencies of 70 nanoseconds per hop. They are currently using 16 gigabits per sync per link and have a goal of communicating pulse events over the network to interconnect emulated networks on several chips.",ChatGPT,Neuromorphic circuits,Large scale neuromorphic computing platform,Communication,,Applications,HW Demo,,
https://www.youtube.com/watch?v=-UjtFAjinFQ&list=PLJ506hQ4g3TiJnL5_UFtRgDFcEV9QNdd1&index=8,2022,NICE,Christian Mayr,TU Dresden,SpiNNaker 2: A platform for real-time bio-inspired AI and cognition,"The speaker is discussing SpiNNaker2 platform which he is working on with a team from Manchester. He takes an abstract view of neuromorphics, believing in the use of sparsity in coding to compress information and improve energy efficiency. He also mentions the use of prediction and parallel, asynchronous processing to make the system more robust and efficient. He also talks about the SpiNNaker1 and SpiNNaker2 systems, which are arm-based and have a high capacity and programmability. The goal is to merge brain inspiration and deep neural networks in all aspects of the system.",ChatGPT,Neuromorphic circuits,Large scale neuromorphic computing platform,,,,,,
https://www.youtube.com/watch?v=eFY1PhdmXsg&list=PLJ506hQ4g3TiJnL5_UFtRgDFcEV9QNdd1&index=9,2022,NICE,Wolfram Pernice,Heidelberg University,Photonic neuromorphic processing,"The speaker is discussing their research on using optical principles for computing applications. They are building systems on chip that use optical waveguides to guide light signals across the chip and manipulate those signals with active components to implement information processing capabilities. They use an analog computing approach and the benefits of optics include low power and high throughput. The speaker also mentions that they primarily work with silicon photonics materials and use a phase change material called GST for programmability, which allows them to switch between glass-like and crystalline states quickly and reversibly. They work in both winstop and Heidelberg, and mostly do chip design and nano fabrication in the lab.",ChatGPT,Neuromorphic circuits,Photonics,,,,,,
https://www.youtube.com/watch?v=nG8USGLkoUc&list=PLJ506hQ4g3TiJnL5_UFtRgDFcEV9QNdd1&index=10,2022,NICE,Kenneth Stewart,Accenture technology,Encoding event-based data with hybrid SNN guided variatinal auto-encoder in neuromorphic hardware,"Kenneth Stewart, a PhD student at the University of California, Irvine, discusses his work on encoding event-based data with a hybrid guided spiking neural network variation autoencoder neuromorphic hardware. He explains that supervised learning achieves state-of-the-art performance on a variety of tasks, but it requires labeled data along with many iterations of training. He suggests using the power of supervised learning but being able to learn from enable data, such as with variational autoencoders, which can learn a disentangled representation of data such as gesture data to be able to learn from new, unlabeled data. He explains the architecture of his hybrid guided variational autoencoder, which uses a spiking neural network encoder and an unspiking convolutional neural network decoder, and the goal is to embed streams of dynamic vision sensor events into a latent space to facilitate the evaluation and data similarity for self-supervised learning from real-world data. He focuses on demonstration of the guided VA on a dynamic vision sensor learning problem using the event-based DVS gesture data set.",ChatGPT,Neuromorphic algorithms,Computing with spikes,Spike encoding,,,,,
https://www.youtube.com/watch?v=QAkeSpCk7uY&list=PLJ506hQ4g3TiJnL5_UFtRgDFcEV9QNdd1&index=11,2022,NICE,Dhireesha Kudithipudi,UTSA,Lifelong learning systems inspired by neural plasticity,"The speaker is discussing the concept of ""lifelong learning systems"" in artificial neural networks, and the challenges that come with designing such systems. The speaker notes that current artificial neural networks tend to ""forget"" what they have previously learned when presented with new tasks, and that a lifelong learning system should be able to rapidly adapt to new conditions without forgetting previous knowledge. The speaker also notes that the system should be able to continuously improve its performance while executing previously learned tasks and when new tasks are introduced. The speaker goes on to explain the six key features they have identified as necessary for designing a lifelong learning machine, including transfer and adaptation, overcoming catastrophic forgetting, and more.",ChatGPT,Neuromorphic algorithms,Learning in SNNs,,,,,,
https://www.youtube.com/watch?v=cHsFGoXNzWI&list=PLJ506hQ4g3TiJnL5_UFtRgDFcEV9QNdd1&index=12,2022,NICE,Michael Hopkins,University of Manchester,BitBrain and sparse binary coincidence (SBC) memories,"The speaker is discussing an idea called ""Bit Brain,"" which is a memory mechanism that uses ideas from sparse coding, computational neuroscience, information theory, and other fields to create a low energy, low latency product for learning and inference. The primary focus of the idea is for use in internet of things applications, and the goal is to create a system that can quickly and efficiently learn and adapt in a continuous manner. The speaker notes that they and a colleague filed a patent on the key elements of the idea, and that this is the first public talk about the idea without a non-disclosure agreement in place. They also mention an example implementation of the idea called an ""address decoder element"" which helps to illustrate the concept.",ChatGPT,Neuromorphic algorithms,Memory,,,,,,
https://www.youtube.com/watch?v=FuLElIzIdWo&list=PLJ506hQ4g3TiJnL5_UFtRgDFcEV9QNdd1&index=13,2022,NICE,James Turner,University of Sussex,Event-based datasets for classification and pose estimation,"The speaker is discussing a method for collecting event-based data sets for pose estimation using artificial neural networks. They mention that there are relatively fewer data sets for spiking neural networks, and they are trying to develop a human helper for handling manipulating tools and passing them to a human subject. They are using a set of eight Vicon cameras for 3D tracking and a set of two DVS cameras for event-based vision. The problem they have encountered is that the Vicon system's infrared strobe light causes a saturated frame on the DVS cameras, so they have developed a solution by custom 3D printing props with hollow insides and low power infrared tracking LEDs. They are also using a flashing marker to record on the Vicon system and the DVS cameras in order to compute the best rotation and translation from Vicon space into 3D camera centric space. They have collected a sample data set and made it available online.",ChatGPT,Tools and datasets,Dataset,,,Applications,Event vision sensors,,
